"Name","Mmax","Color","Spec. Type","R.A.","Dec.","R.A.'","Dec.'","v☉","vgal","Pbound","dL (kpc)"
"RdM18","-7.51027","1.7755,1.37464","M0, K7","23:14:05.61,23:14:05.689","+23:01:20.2,+23:01:20.3713","119.9","11.2","-204.6,-218.92","322.811","0.999483","0.663876"
"GaiaDR2 204014","-17.8645","1.6518","","18:56:59.9924","+27:40:06.3158","-4.244","-7.082","-364.65","320.838","0.965684","10.3609"
"SDSSJ002810.33+215809.66","-15.88","0.0083,-0.24601","A, B","00:28:10.33,00:28:10.3308","+21:58:09.66,+21:58:09.6785","0.711","-0.509","150,148","320.062","0.962085","43.4608"
"RAVEJ152905.9-365544","-16.0284","1.5708","","15:29:05.9,15:29:05.9004","-36:55:44,-36:55:43.9829","-4.8","3.4","-189.8,-188.82","319.124","0.999782","4.18675"
"LMST_HVS22","-10.9321","0.6338,0.25231","A0, A6","12:43:30.95,12:43:30.927","+42:31:19.9,+42:31:19.2988","-25.4","-55.5","-263,-228.55,-282","316.384","0.999583","1.72389"
"SDSSJ075712.93+512938.0","-16.4411","-0.1244,-0.33346","B7, A2","07:57:12.93,07:57:12.9303","+51:29:38,+51:29:37.9679","-0.179","-0.875","287,228.74","316.142","0.995783","25.3192"
"GaiaDR2 532115","-18.1913","2.1437","","08:35:16.9512,08:35:16.952","-53:12:16.488,-53:12:16.4785","-2.518","3.224","81.3","315.519","0.950985","14.0915"
"NHCc","-6.89676","1.6587,1.21766","K, M","02:30:14.2373,02:30:14.3266","-01:06:38.5056,-01:06:39.9646","120.19","-122.11","186.2","314.724","0.998783","0.607269"
"RdM1","-6.60064","1.7702,1.33450","M0, K7","00:30:12.87,00:30:12.8214","-18:44:46.9,-18:44:48.2509","-78.3","-148.5","-36.6,-51.078","314.493","0.999683","0.422814"
"SDSSJ010948.30+311727.66","-14.5663","0.0277,-0.25776","","01:09:48.3,01:09:48.308","+31:17:27.66,+31:17:27.6504","0.626","0.084","108","313.328","0.957485","24.4595"
